Results
Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
1,1000,1,1,50.389,0.31753,39691
2,2000,1,0.5,50.197,0.31874,39843
3,3000,1,0.33333,50.799,0.31496,39371
4,4000,1,0.25,49.898,0.32065,40082
5,5000,1,0.2,49.965,0.32022,40028
6,6000,1,0.16667,49.683,0.32204,40255
7,7000,1,0.14286,49.984,0.3201,40013
8,8000,1,0.125,50.26,0.31835,39793
9,9000,1,0.11111,50.04,0.31974,39968
1,1000,2,2,50.971,0.62781,39238
2,2000,2,1,50.032,0.6396,39975
3,3000,2,0.66667,50.503,0.63362,39601
4,4000,2,0.5,50.253,0.63678,39799
5,5000,2,0.4,49.99,0.64012,40008
6,6000,2,0.33333,50.06,0.63924,39952
7,7000,2,0.28571,50.144,0.63817,39885
8,8000,2,0.25,50.939,0.6282,39263
9,9000,2,0.22222,50.682,0.63138,39461
1,1000,4,4,51.553,1.2414,38795
2,2000,4,2,49.578,1.2909,40340
3,3000,4,1.3333,51.254,1.2487,39021
4,4000,4,1,55.45,1.1542,36068
5,5000,4,0.8,50.038,1.279,39970
6,6000,4,0.66667,49.946,1.2814,40043
7,7000,4,0.57143,49.503,1.2928,40401
8,8000,4,0.5,50.206,1.2748,39836
9,9000,4,0.44444,50.252,1.2736,39800
1,1000,8,8,50.104,2.5547,39917
2,2000,8,4,49.55,2.5832,40363
3,3000,8,2.6667,49.984,2.5608,40013
4,4000,8,2,50.154,2.5522,39877
5,5000,8,1.6,49.679,2.5766,40259
6,6000,8,1.3333,50.794,2.52,39374
7,7000,8,1.1429,50.026,2.5587,39979
8,8000,8,1,50.009,2.5595,39993
9,9000,8,0.88889,49.949,2.5626,40041
1,1000,16,16,49.682,5.1528,40256
2,2000,16,8,51.018,5.0178,39202
3,3000,16,5.3333,50.395,5.0798,39686
4,4000,16,4,50.503,5.069,39602
5,5000,16,3.2,50.121,5.1076,39903
6,6000,16,2.6667,49.737,5.1471,40212
7,7000,16,2.2857,49.939,5.1263,40049
8,8000,16,2,50.707,5.0486,39442
9,9000,16,1.7778,50.434,5.0759,39656
1,1000,32,32,50.727,10.093,39427
2,2000,32,16,50.063,10.227,39949
3,3000,32,10.667,50.148,10.21,39882
4,4000,32,8,49.9,10.261,40080
5,5000,32,6.4,50.074,10.225,39941
6,6000,32,5.3333,50.012,10.237,39990
7,7000,32,4.5714,50.901,10.059,39292
8,8000,32,4,50.473,10.144,39625
9,9000,32,3.5556,50.323,10.174,39743
1,1000,64,64,52.846,19.377,37846
2,2000,64,32,50.827,20.147,39350
3,3000,64,21.333,50.169,20.411,39866
4,4000,64,16,49.51,20.683,40396
5,5000,64,12.8,50.201,20.398,39840
6,6000,64,10.667,50.563,20.252,39555
7,7000,64,9.1429,50.197,20.4,39843
8,8000,64,8,50.91,20.114,39285
9,9000,64,7.1111,56.647,18.077,35306
1,1000,128,128,54.19,37.793,36907
2,2000,128,64,49.872,41.065,40103
3,3000,128,42.667,49.822,41.107,40143
4,4000,128,32,50.431,40.61,39658
5,5000,128,25.6,49.852,41.082,40119
6,6000,128,21.333,53.412,38.343,37445
7,7000,128,18.286,49.746,41.169,40204
8,8000,128,16,50.316,40.703,39749
9,9000,128,14.222,50.6,40.474,39525
1,1000,256,256,99.47,41.178,20107
2,2000,256,128,57.576,71.141,34737
3,3000,256,85.333,53.177,77.025,37610
4,4000,256,64,50.465,81.164,39631
5,5000,256,51.2,49.789,82.267,40169
6,6000,256,42.667,50.289,81.449,39770
7,7000,256,36.571,50.425,81.229,39663
8,8000,256,32,50.367,81.324,39709
9,9000,256,28.444,50.522,81.074,39587
1,1000,512,512,113.89,71.929,17561
2,2000,512,256,53.257,153.82,37554
3,3000,512,170.67,51.065,160.42,39166
4,4000,512,128,55.634,147.25,35949
5,5000,512,102.4,51.255,159.83,39021
6,6000,512,85.333,51.85,157.99,38573
7,7000,512,73.143,50.523,162.15,39586
8,8000,512,64,49.895,164.18,40084
9,9000,512,56.889,50.715,161.53,39436
1,1000,1024,1024,97.459,168.11,20521
2,2000,1024,512,83.079,197.21,24073
3,3000,1024,341.33,71.656,228.65,27911
4,4000,1024,256,67.455,242.89,29649
5,5000,1024,204.8,50.715,323.06,39436
6,6000,1024,170.67,57.606,284.41,34718
7,7000,1024,146.29,65.087,251.73,30728
8,8000,1024,128,52.39,312.73,38175
9,9000,1024,113.78,51.645,317.24,38726
1,1000,2048,2048,172.28,190.2,11609
2,2000,2048,1024,160.63,203.99,12451
3,3000,2048,682.67,93.732,349.59,21338
4,4000,2048,512,74.404,440.41,26880
5,5000,2048,409.6,82.803,395.73,24154
6,6000,2048,341.33,91.737,357.2,21802
