Results,,,,,,
Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
1,1000,1,1,56.898,0.2812,35151
2,2000,1,0.5,46.99,0.34049,42562
4,4000,1,0.25,20.049,0.79805,99757
8,8000,1,0.125,14.595,1.0963,137040
1,1000,2,2,52.858,0.6054,37837
2,2000,2,1,33.126,0.48301,60376
4,4000,2,0.5,19.769,1.6187,101170
8,8000,2,0.25,12.998,2.462,153870
1,1000,4,4,73.264,0.87355,27299
2,2000,4,2,36.774,0.87018,54386
4,4000,4,1,23.315,0.68625,85781
8,8000,4,0.5,13.659,4.6857,146430
1,1000,8,8,51.393,2.4906,38916
2,2000,8,4,41.551,1.5403,48133
4,4000,8,2,24.765,1.2921,80758
8,8000,8,1,35.682,0.44841,56051
1,1000,16,16,64.862,3.9468,30835
2,2000,16,8,41.007,3.1215,48773
4,4000,16,4,43.858,1.4592,45601
8,8000,16,2,41.479,0.77148,48218
1,1000,32,32,64.047,7.9941,31227
2,2000,32,16,42.361,6.0432,47213
4,4000,32,8,65.131,1.9653,30707
8,8000,32,4,72.985,0.87689,27403
1,1000,64,64,451.46,2.2682,4430.1
2,2000,64,32,34.596,14.8,57811
4,4000,64,16,23.997,10.668,83345
8,8000,64,8,21.288,6.0128,93950
1,1000,128,128,69.086,29.644,28949
2,2000,128,64,36.224,28.268,55211
4,4000,128,32,38.146,13.422,52430
8,8000,128,16,45.778,5.5922,43689
1,1000,256,256,73.857,55.459,27079
2,2000,256,128,49.364,41.488,40516
4,4000,256,64,64.191,15.952,31157
8,8000,256,32,53.305,9.6051,37520
1,1000,512,512,74.821,109.49,26730
2,2000,512,256,52.916,77.405,37795
4,4000,512,128,42.951,47.683,46565
8,8000,512,64,51.284,19.967,38999
1,1000,1024,1024,98.007,167.17,20407
2,2000,1024,512,51.194,160.02,39067
4,4000,1024,256,45.852,89.33,43618
8,8000,1024,128,65.023,31.497,30759
1,1000,2048,2048,269.85,121.43,7411.4
2,2000,2048,1024,115.1,142.35,17376
4,4000,2048,512,77.357,105.9,25854
8,8000,2048,256,101.85,40.218,19638
1,1000,4096,4096,405.87,161.47,4927.7
2,2000,4096,2048,131.46,249.25,15213
4,4000,4096,1024,47.173,347.31,42397
8,8000,4096,512,65.879,124.35,30359
1,1000,8192,8192,462.24,283.56,4326.8
2,2000,8192,4096,235.87,277.84,8479.1
4,4000,8192,2048,98.984,331.05,20205
8,8000,8192,1024,102.79,159.4,19458
1,1000,16384,16384,622.9,420.85,3210.8
2,2000,16384,8192,251.18,521.83,7962.5
4,4000,16384,4096,136.01,481.86,14705
8,8000,16384,2048,34.364,953.57,58201
1,1000,32768,32768,696.49,752.75,2871.5
2,2000,32768,16384,274.76,954.09,7279.1
4,4000,32768,8192,123.74,1059.2,16163
8,8000,32768,4096,54.746,1197.1,36532
1,1000,65536,65536,961.23,1090.9,2080.7
2,2000,65536,32768,413.92,1266.6,4831.9
4,4000,65536,16384,155.01,1691.1,12902
8,8000,65536,8192,78.341,1673.1,25529
1,1000,131072,131070,1671.7,1254.5,1196.4
2,2000,131072,65536,618.36,1695.7,3234.3
4,4000,131072,32768,286.49,1830,6980.9
8,8000,131072,16384,143.33,1829,13954
1,1000,262144,262140,2871.1,1460.9,696.59
2,2000,262144,131070,1133.1,1850.7,1765
4,4000,262144,65536,568.65,1844,3517.1
8,8000,262144,32768,287.47,1823.8,6957.2
1,1000,524288,524290,5031.9,1667.1,397.47
2,2000,524288,262140,2259.1,1856.6,885.31
4,4000,524288,131070,1131.4,1853.6,1767.8
8,8000,524288,65536,571.2,1835.7,3501.4
1,1000,1048580,1048600,9633.9,1741.5,207.6
2,2000,1048580,524290,4524.3,1854.1,442.05
4,4000,1048580,262140,2258,1857.5,885.72
8,8000,1048580,131070,1144.8,1831.9,1747
